"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Mar 17 07:13:50 UTC 2024","Sun Mar 17 07:13:50 UTC 2024","0","tests.test_employee","test_EmployeeLogin","","","","test_responsive_layout[Desktop]",""
"broken","Sun Mar 17 07:18:20 UTC 2024","Sun Mar 17 07:18:20 UTC 2024","0","tests.test_employee","test_EmployeeLogin","","","","test_employee_login_with_invalid_credentials_shows_error_message",""
"broken","Sun Mar 17 07:40:34 UTC 2024","Sun Mar 17 07:40:34 UTC 2024","0","tests.test_employee","test_EmployeeCloseEvaluation","","","","test_close_evaluation",""
"broken","Sun Mar 17 07:39:01 UTC 2024","Sun Mar 17 07:39:01 UTC 2024","0","tests.test_manager","test_ManagerCloseEmployeeEvaluation","","","","test_close_evaluation",""
"broken","Sun Mar 17 07:29:36 UTC 2024","Sun Mar 17 07:29:36 UTC 2024","0","tests.test_manager","test_ManagerLogin","","","","test_manager_login_with_valid_credentials_redirects_to_home_page",""
"broken","Sun Mar 17 07:27:21 UTC 2024","Sun Mar 17 07:27:21 UTC 2024","0","tests.test_employee","test_EmployeeEvaluation","","","","test_submit_complete_evaluation",""
"broken","Sun Mar 17 07:25:06 UTC 2024","Sun Mar 17 07:25:06 UTC 2024","0","tests.test_employee","test_EmployeeEvaluation","","","","test_fill_evaluation_with_comments_only_not_submitted",""
"broken","Sun Mar 17 07:42:48 UTC 2024","Sun Mar 17 07:42:48 UTC 2024","0","tests.test_employee","test_EmployeeEvaluationHistory","","","","test_evaluations_are_chronological",""
"broken","Sun Mar 17 07:20:35 UTC 2024","Sun Mar 17 07:20:35 UTC 2024","0","tests.test_employee","test_EmployeeEvaluation","","","","test_empty_evaluation_not_submitted",""
"broken","Sun Mar 17 07:45:04 UTC 2024","Sun Mar 17 07:45:04 UTC 2024","0","tests.test_employee","test_EmployeeEvaluationHistory","","","","test_search_currently_cycle",""
"broken","Sun Mar 17 07:47:19 UTC 2024","Sun Mar 17 07:47:19 UTC 2024","0","tests.test_employee","test_EmployeeEvaluationHistory","","","","test_view_closed_evaluation_by_date",""
"broken","Sun Mar 17 07:11:35 UTC 2024","Sun Mar 17 07:11:35 UTC 2024","0","tests.test_employee","test_EmployeeLogin","","","","test_responsive_layout[Tablet]",""
"broken","Sun Mar 17 07:22:51 UTC 2024","Sun Mar 17 07:22:51 UTC 2024","0","tests.test_employee","test_EmployeeEvaluation","","","","test_fill_evaluation_with_ratings_only_not_submitted",""
"broken","Sun Mar 17 07:31:19 UTC 2024","Sun Mar 17 07:31:19 UTC 2024","0","tests.test_manager","test_ManagerLogin","","","","test_manager_login_with_invalid_credentials_shows_error_message",""
"broken","Sun Mar 17 07:09:19 UTC 2024","Sun Mar 17 07:09:19 UTC 2024","0","tests.test_employee","test_EmployeeLogin","","","","test_responsive_layout[Mobile]",""
"broken","Sun Mar 17 07:32:52 UTC 2024","Sun Mar 17 07:32:52 UTC 2024","0","tests.test_manager","test_ManagerEvaluationForEmployee","","","","test_empty_evaluation_not_submitted",""
"broken","Sun Mar 17 07:35:57 UTC 2024","Sun Mar 17 07:35:57 UTC 2024","0","tests.test_manager","test_ManagerEvaluationForEmployee","","","","test_fill_evaluation_with_comments_only_not_submitted",""
"broken","Sun Mar 17 07:37:29 UTC 2024","Sun Mar 17 07:37:29 UTC 2024","0","tests.test_manager","test_ManagerEvaluationForEmployee","","","","test_submit_complete_evaluation",""
"broken","Sun Mar 17 07:16:05 UTC 2024","Sun Mar 17 07:16:05 UTC 2024","0","tests.test_employee","test_EmployeeLogin","","","","test_employee_login_with_valid_credentials_redirects_to_home_page",""
"broken","Sun Mar 17 07:34:24 UTC 2024","Sun Mar 17 07:34:24 UTC 2024","0","tests.test_manager","test_ManagerEvaluationForEmployee","","","","test_fill_evaluation_with_ratings_only_not_submitted",""
